athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,18,24,São Paulo,2,335,1,33,3,0,3,18,4,14,22.2,1,80,22,102,26,3,29,1,6,27,22,7,0,10,17,2,0,2,3,1,2,324,58,382,84.8,990,4,7,,0,0,1,0,0
0,,18,1094,Atlético-GO,2,268,3,48,3,0,3,18,2,16,11.1,4,87,40,127,16,0,16,6,1,22,27,2,0,4,6,1,0,2,6,4,2,261,49,310,84.2,990,3,1,,0,0,0,0,1
0,,19,5,Botafogo,7,179,4,32,4,0,4,17,5,12,29.4,4,79,27,106,12,1,13,7,2,17,21,4,1,9,14,2,0,1,1,0,1,172,52,224,76.8,990,0,3,,0,0,0,1,0
0,,19,13,Grêmio,4,270,2,25,5,0,5,17,2,15,11.8,2,72,29,101,4,2,6,2,7,21,17,6,0,9,15,2,0,0,0,0,0,267,59,326,81.9,990,0,2,,0,0,0,1,0
0,,19,33,Ceará,3,270,3,43,2,0,2,21,3,18,14.3,4,68,10,78,19,4,23,1,7,24,11,3,0,7,10,0,0,2,4,2,2,263,36,299,88,990,2,2,,0,0,0,0,1
0,,19,25,Vasco,1,138,4,22,1,0,1,8,1,7,12.5,3,50,25,75,6,4,10,7,1,11,24,6,0,4,10,2,0,0,2,1,1,136,43,179,76,990,4,3,,0,0,1,0,0
0,,19,6,Corinthians,5,496,4,28,6,0,6,26,6,20,23.1,1,64,20,84,9,1,10,1,9,22,15,12,2,14,28,5,0,3,2,0,2,482,37,519,92.9,990,8,8,,0,0,1,0,0
0,,19,12,Goiás,0,147,4,30,5,1,6,6,1,5,16.7,7,58,38,96,6,5,11,9,1,15,22,2,0,6,8,1,0,3,1,0,1,144,53,197,73.1,938,0,2,,0,0,0,0,1
0,,19,29,Avaí,4,311,3,36,1,0,1,29,7,22,24.1,1,96,49,145,15,2,17,6,5,16,12,2,0,10,12,0,0,3,1,1,0,300,67,367,81.7,990,2,2,,0,0,0,0,1
0,,19,3,Atlético-PR,3,135,2,44,2,1,3,17,4,13,23.5,2,78,48,126,11,4,15,5,6,12,16,2,0,9,11,1,0,1,0,0,0,131,67,198,66.2,985,0,1,,0,0,1,0,0
0,,19,17,Palmeiras,1,200,4,46,2,0,2,18,4,14,22.2,2,82,43,125,16,3,19,5,3,17,22,7,0,6,13,2,0,2,4,2,2,189,68,257,73.5,990,2,4,,0,0,0,0,1
0,,19,9,Cruzeiro,6,202,4,45,4,0,4,16,7,9,43.8,5,78,46,124,10,0,10,3,5,22,17,5,0,11,16,3,0,3,6,1,5,185,42,227,81.5,990,1,8,,0,0,1,0,0
